Type,Family,Model Name,Input Size,Accuracy
TBD,TBD,cs3se_edgenet_x.c2ns_in1k,256,82.76
TBD,TBD,cs3sedarknet_l.c2ns_in1k,288,81.766
TBD,TBD,cs3sedarknet_l.c2ns_in1k,256,81.22
TBD,TBD,cs3sedarknet_x.c2ns_in1k,288,82.65
TBD,TBD,cs3sedarknet_x.c2ns_in1k,256,81.926
TBD,TBD,cspdarknet53.ra_in1k,256,80.106
TBD,TBD,cspresnet50.ra_in1k,256,79.588
TBD,TBD,cspresnext50.ra_in1k,256,80.552
TBD,TBD,darknet53.c2ns_in1k,288,80.542
TBD,TBD,darknet53.c2ns_in1k,256,80.002
TBD,TBD,darknetaa53.c2ns_in1k,288,80.528
TBD,TBD,darknetaa53.c2ns_in1k,256,79.746
TBD,TBD,davit_base.msft_in1k,224,84.65
TBD,TBD,davit_small.msft_in1k,224,84.266
TBD,TBD,davit_tiny.msft_in1k,224,82.698
TBD,TBD,deit_base_distilled_patch16_224.fb_in1k,224,83.388
TBD,TBD,deit_base_distilled_patch16_384.fb_in1k,384,85.428
TBD,TBD,deit_base_patch16_224.fb_in1k,224,81.98
TBD,TBD,deit_base_patch16_384.fb_in1k,384,83.116
TBD,TBD,deit_small_distilled_patch16_224.fb_in1k,224,81.216
TBD,TBD,deit_small_patch16_224.fb_in1k,224,79.862
TBD,TBD,deit_tiny_distilled_patch16_224.fb_in1k,224,74.54
TBD,TBD,deit_tiny_patch16_224.fb_in1k,224,72.196
TBD,TBD,deit3_base_patch16_224.fb_in1k,224,83.794
TBD,TBD,deit3_base_patch16_224.fb_in22k_ft_in1k,224,85.728
TBD,TBD,deit3_base_patch16_384.fb_in1k,384,85.086
TBD,TBD,deit3_base_patch16_384.fb_in22k_ft_in1k,384,86.744
TBD,TBD,deit3_huge_patch14_224.fb_in1k,224,85.222
TBD,TBD,deit3_huge_patch14_224.fb_in22k_ft_in1k,224,87.18
TBD,TBD,deit3_large_patch16_224.fb_in1k,224,84.778
